response,feedback_type,contrast_right,contrast_left,response_time,mouse,session,contrast_diff,contrast_diff_abs,condition
-1.0,1.0,1.0,0.0,2.4175670376514518,Cori,1,1.0,1.0,go
0.0,1.0,0.0,0.0,2.6675857765019373,Cori,1,0.0,0.0,no_go
-1.0,1.0,1.0,0.0,1.5685430140315475,Cori,1,1.0,1.0,go
0.0,-1.0,1.0,0.0,2.553406510241757,Cori,1,1.0,1.0,go
-1.0,1.0,1.0,0.0,1.834340083499228,Cori,1,1.0,1.0,go
0.0,1.0,0.0,0.0,2.28840944782155,Cori,1,0.0,0.0,no_go
0.0,-1.0,0.25,0.25,2.5744566053454037,Cori,1,0.0,0.0,go
0.0,-1.0,1.0,0.25,2.165300597352598,Cori,1,0.75,0.75,go
0.0,-1.0,1.0,0.25,2.033326509225617,Cori,1,0.75,0.75,go
0.0,-1.0,1.0,0.25,2.2769376864293918,Cori,1,0.75,0.75,go
-1.0,1.0,1.0,0.25,0.617745624336294,Cori,1,0.75,0.75,go
0.0,1.0,0.0,0.0,2.350989137070883,Cori,1,0.0,0.0,no_go
1.0,1.0,0.25,0.5,1.051862515492985,Cori,1,-0.25,0.25,go
1.0,1.0,0.0,0.5,1.1185011042853148,Cori,1,-0.5,0.5,go
0.0,1.0,0.0,0.0,2.5611867677341706,Cori,1,0.0,0.0,no_go
1.0,1.0,0.0,0.5,1.0180318097297913,Cori,1,-0.5,0.5,go
0.0,-1.0,0.25,0.0,2.312292206492657,Cori,1,0.25,0.25,go
1.0,1.0,0.0,0.5,0.7024231711836819,Cori,1,-0.5,0.5,go
-1.0,1.0,1.0,0.0,1.1020981063916224,Cori,1,1.0,1.0,go
1.0,1.0,0.5,1.0,0.9025251787902562,Cori,1,-0.5,0.5,go
-1.0,1.0,0.5,0.25,0.7184018298382853,Cori,1,0.25,0.25,go
1.0,1.0,0.0,1.0,0.9358412319622857,Cori,1,-1.0,1.0,go
-1.0,1.0,0.5,0.0,1.4523790446735347,Cori,1,0.5,0.5,go
-1.0,1.0,1.0,0.25,1.3851614385034736,Cori,1,0.75,0.75,go
1.0,1.0,0.0,1.0,0.6185204515745681,Cori,1,-1.0,1.0,go
0.0,1.0,0.0,0.0,2.3861482007957875,Cori,1,0.0,0.0,no_go
-1.0,1.0,0.25,0.0,1.5696141632345189,Cori,1,0.25,0.25,go
0.0,1.0,0.0,0.0,2.689699163224759,Cori,1,0.0,0.0,no_go
-1.0,1.0,0.5,0.0,1.452568648989427,Cori,1,0.5,0.5,go
-1.0,1.0,0.5,0.0,0.7027990715787382,Cori,1,0.5,0.5,go
-1.0,1.0,1.0,0.0,0.9350668517924987,Cori,1,1.0,1.0,go
0.0,-1.0,0.5,0.25,2.5939632404781605,Cori,1,0.25,0.25,go
0.0,1.0,0.0,0.0,2.327756000081081,Cori,1,0.0,0.0,no_go
1.0,1.0,0.25,0.5,1.152573830896472,Cori,1,-0.25,0.25,go
0.0,1.0,0.0,0.0,2.0697668531486215,Cori,1,0.0,0.0,no_go
-1.0,1.0,0.5,0.0,1.9019080952014065,Cori,1,0.5,0.5,go
1.0,1.0,0.25,1.0,0.8520268891627438,Cori,1,-0.75,0.75,go
-1.0,-1.0,0.5,0.5,1.1854737031558216,Cori,1,0.0,0.0,go
-1.0,1.0,0.5,0.0,1.1853359988983811,Cori,1,0.5,0.5,go
1.0,-1.0,0.5,0.25,1.4693869368488777,Cori,1,0.25,0.25,go
-1.0,1.0,1.0,0.5,1.3851907293444583,Cori,1,0.5,0.5,go
0.0,1.0,0.0,0.0,2.2904879394732234,Cori,1,0.0,0.0,no_go
0.0,-1.0,0.5,0.25,2.6485789480020685,Cori,1,0.25,0.25,go
1.0,1.0,0.0,0.5,0.9690710126747035,Cori,1,-0.5,0.5,go
0.0,1.0,0.0,0.0,2.5719432095456796,Cori,1,0.0,0.0,no_go
1.0,1.0,0.5,0.5,1.302679543116028,Cori,1,0.0,0.0,go
1.0,1.0,0.0,1.0,0.6024842467190865,Cori,1,-1.0,1.0,go
0.0,1.0,0.0,0.0,2.0651248888962073,Cori,1,0.0,0.0,no_go
1.0,1.0,0.0,1.0,0.7864381197518924,Cori,1,-1.0,1.0,go
-1.0,-1.0,0.0,0.0,1.3522282083420123,Cori,1,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.218932468294497,Cori,1,0.0,0.0,no_go
-1.0,-1.0,1.0,1.0,1.1860037378748984,Cori,1,0.0,0.0,go
1.0,1.0,0.0,0.5,1.052990629097394,Cori,1,-0.5,0.5,go
-1.0,1.0,0.5,0.0,1.1025595726136999,Cori,1,0.5,0.5,go
0.0,1.0,0.0,0.0,2.224895382498289,Cori,1,0.0,0.0,no_go
0.0,-1.0,0.0,0.25,2.103391314217106,Cori,1,-0.25,0.25,go
0.0,-1.0,0.5,0.0,2.484936004580959,Cori,1,0.5,0.5,go
1.0,1.0,0.0,1.0,0.8366643722952176,Cori,1,-1.0,1.0,go
1.0,-1.0,1.0,0.0,1.3866561663803623,Cori,1,1.0,1.0,go
0.0,-1.0,1.0,0.0,2.401981636460505,Cori,1,1.0,1.0,go
-1.0,1.0,1.0,0.0,1.4034978602080628,Cori,1,1.0,1.0,go
1.0,1.0,0.25,0.5,0.8023402369656196,Cori,1,-0.25,0.25,go
1.0,1.0,0.0,1.0,0.9522757917882245,Cori,1,-1.0,1.0,go
1.0,1.0,0.25,1.0,0.9365812824576096,Cori,1,-0.75,0.75,go
